Start,End,Commodity,Cost,Minimum,Maximum,geometry,CAPEX
SWOX GW,SWOX,water,1.0,0,190.0,"LINESTRING (411277 207059, 441082 195757)",
Upper Thames,Farmoor,water,1.0,0,300.0,"LINESTRING (448000 208809, 444500 206000)",
Farmoor,SWOX,water,1.0,0,99999.0,"LINESTRING (444500 206000, 441082 195757)",
Gatehampton GW,J2,water,1.0,0,50.0,"LINESTRING (460286 179965, 477847.55 178697.23)",
Upper Thames,J1,water,1.0,0,99999.0,"LINESTRING (448000 208809, 461397.56 191178.29)",
J1,J2,water,1.0,0,99999.0,"LINESTRING (461397.56 191178.29, 477847.55 178697.23)",
WB GW,J2,water,1.0,0,99999.0,"LINESTRING (462191 168287, 462191 168287, 477847.55 178697.23)",
SWOX Discharge,J1,water,1.0,0,99999.0,"LINESTRING (471061 199069, 461397.56 191178.29)",
J2,J3,water,1.0,0,99999.0,"LINESTRING (477847.55 178697.23, 494383.8838587449 189499.6039872171)",
J3,Affinity and Surrey,water,1.0,0,282.0,"LINESTRING (494383.8838587449 189499.6039872171, 483118 209318)",
J3,Affinity Iver,water,1.0,0,227.3,"LINESTRING (494383.8838587449 189499.6039872171, 497292 199690)",
J4,London,water,1.0,0,99999.0,"LINESTRING (529101.834713703 184428.4023617192, 530034 180381)",
J4,Three Valleys,water,1.0,0,99999.0,"LINESTRING (529101.834713703 184428.4023617192, 550086 217806)",
J4,Essex and Suffolk,water,1.0,0,99999.0,"LINESTRING (529101.834713703 184428.4023617192, 550641 173708)",
Aggregated London GW,London,water,1.0,0,480.0,"LINESTRING (537397 173085, 530034 180381)",
Beckton,London,water,1.0,0,0.0,"LINESTRING (544987.1675154113 181609.8421723584, 530034 180381)",
Mid Thames,J3,water,1.0,0,99999.0,"LINESTRING (491561.0657190818 178700.3010531032, 494383.8838587449 189499.6039872171)",
Essex and Suffolk,Long Reach STW,wastewater,1.0,0,99999.0,"LINESTRING (550641 173708, 554721.3461802658 176688.7774499665)",
SWOX,Banbury STW,wastewater,1.0,0,99999.0,"LINESTRING (441082 195757, 446952.83253 240277.93824)",
SWOX,Swindon STW,wastewater,1.0,0,99999.0,"LINESTRING (441082 195757, 413105.1041346323 185621.9535584484)",
SWOX,Oxford STW,wastewater,1.0,0,99999.0,"LINESTRING (441082 195757, 454354.6450417631 201921.1272962862)",
London,Mogden STW,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 515409.1075970923 175095.258590067)",
London,Hogsmill STW,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 519495.2432443266 168351.0093908152)",
London,Beckton STW,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 545469.25709 181666.63372)",
London,Deepham STW,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 535659.17677 193168.96093)",
London,Hertford STW,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 539104.1871185399 210213.1711158141)",
Essex and Suffolk,Crossness STW,wastewater,1.0,0,99999.0,"LINESTRING (550641 173708, 549085.93417 180836.59669)",
Essex and Suffolk,Riverside STW,wastewater,1.0,0,99999.0,"LINESTRING (550641 173708, 551499.20706 181898.5147)",
Affinity and Surrey,Hertford STW,wastewater,1.0,0,99999.0,"LINESTRING (483118 209318, 539104.1871185399 210213.1711158141)",
Affinity Iver,Hertford STW,wastewater,1.0,0,99999.0,"LINESTRING (497292 199690, 539104.1871185399 210213.1711158141)",
Mogden solar,Mogden STW,electricity,-1000.0,0,99999.0,"LINESTRING (515117.7889377241 175417.5002030291, 515409.1075970923 175095.258590067)",
Mogden biogas,Mogden STW,electricity,1.0,0,99999.0,"LINESTRING (515251.4916179689 174783.4622284794, 515409.1075970923 175095.258590067)",
Beckton Solar,Beckton STW,electricity,-1000.0,0,99999.0,"LINESTRING (545311.6089496623 181924.0521974809, 545469.25709 181666.63372)",
Beckton Solar,Beckton,electricity,-1000.0,0,99999.0,"LINESTRING (545311.6089496623 181924.0521974809, 544987.1675154113 181609.8421723584)",
Beckton biogas,Beckton,electricity,-100.0,0,99999.0,"LINESTRING (545066.2988487643 181999.2809067918, 544987.1675154113 181609.8421723584)",
Beckton biogas,Beckton STW,electricity,-100.0,0,99999.0,"LINESTRING (545066.2988487643 181999.2809067918, 545469.25709 181666.63372)",
Crossness solar,Crossness STW,electricity,-1000.0,0,99999.0,"LINESTRING (548470.3810156726 180949.8231051596, 549085.93417 180836.59669)",
Beckton wind,Beckton,electricity,-1000.0,0,99999.0,"LINESTRING (544250.1759628149 182394.4186378575, 544987.1675154113 181609.8421723584)",
Beckton wind,Beckton STW,electricity,-1000.0,0,99999.0,"LINESTRING (544250.1759628149 182394.4186378575, 545469.25709 181666.63372)",
Riverside wind,Riverside STW,electricity,-1000.0,0,99999.0,"LINESTRING (549327.8717787735 182532.9783343105, 551499.20706 181898.5147)",
Essex and Suffolk,Environmental overflow,wastewater,1.0,0,99999.0,"LINESTRING (550641 173708, 548061.8289055001 192197.8973406248)",
London,Environmental overflow,wastewater,1.0,0,99999.0,"LINESTRING (530034 180381, 548061.8289055001 192197.8973406248)",
Three Valleys,Environmental overflow,wastewater,1.0,0,99999.0,"LINESTRING (550086 217806, 548061.8289055001 192197.8973406248)",
Affinity Iver,Environmental overflow,wastewater,1.0,0,99999.0,"LINESTRING (497292 199690, 548061.8289055001 192197.8973406248)",
