Type,Subtype,Name,Status,Sector,Commodity,Capacity,initCap,Cap_units,Built,CAPEX,Comments,Label,Nodal_Flow,Function,geometry
storage,reservoir,Farmoor,Online,water,water,13822.0,13822.0,megalitres,0,0.0,from CEH database,,False,,POINT (444500 206000)
sink,demand,SWOX,Online,water,water,,0.0,,0,0.0,Arbitrary location,SWOX,True,household,POINT (441082 195757)
sink,demand,London,Online,water,water,,0.0,,0,0.0,Arbitrary location,London,True,household,POINT (530034 180381)
sink,demand,Three Valleys,Online,water,water,,0.0,,0,0.0,Arbitrary location,Three Valleys,True,household,POINT (550086 217806)
sink,demand,Essex and Suffolk,Online,water,water,,0.0,,0,0.0,Arbitrary location,Essex and Suffolk,True,household,POINT (550641 173708)
sink,envflow,Teddington Environmental Flow,Online,water,water,800.0,0.0,MLD,0,0.0,Fixed quantity flow. Arbitrary location.,,,,POINT (516439 156586)
sink,demand,Affinity and Surrey,Online,water,water,,0.0,,0,0.0,Arbitrary location,Affinity and Surrey,True,,POINT (483118 209318)
sink,demand,Affinity Iver,Online,water,water,,0.0,,0,0.0,Arbitrary location,Affinity Iver,True,,POINT (497292 199690)
source,river,Lee abstraction,Online,water,water,,0.0,,0,0.0,Estimated from Barney's spatial data. Has nodal flow data associated with it.,,True,,POINT (538886 209249)
source,groundwater,WB GW,Online,water,water,,0.0,,0,0.0,,,,,POINT (462191 168287)
source,groundwater,SWOX GW,Online,water,water,,0.0,,0,0.0,,,,,POINT (411277 207059)
source,groundwater,Gatehampton GW,Online,water,water,,0.0,,0,0.0,,,,,POINT (460286 179965)
source,groundwater,Aggregated London GW,Online,water,water,,0.0,,0,0.0,,,,,POINT (537397 173085)
source,desalination,Beckton,Online,water,water,,0.0,,2013,0.0,,,,,POINT (544987.1675154113 181609.8421723584)
source,river,Upper Thames,Online,water,water,,0.0,,0,0.0,Estimated from Barney's spatial data. Has nodal flow data associated with it.,,True,,POINT (448000 208809)
source,river,Mid Thames,Online,water,water,,0.0,,0,0.0,Estimated from Barney's spatial data. Has nodal flow data associated with it.,,True,,POINT (491561.0657190818 178700.3010531032)
source,reuse,SWOX Discharge,Online,water,water,,0.0,,0,0.0,95% of SWOX demand is sent back into the Thames. Location arbitrary.,,False,,POINT (471061 199069)
junction,junction,J1,Online,none,,,0.0,,0,0.0,,,,,POINT (461397.56 191178.29)
junction,junction,J2,Online,none,,,0.0,,0,0.0,,,,,POINT (477847.55 178697.23)
junction,junction,J3,Online,none,,,0.0,,0,0.0,,,,,POINT (494383.8838587449 189499.6039872171)
junction,junction,J4,Online,none,,,0.0,,0,0.0,,,,,POINT (529101.834713703 184428.4023617192)
source,solar,Beckton Solar,Online,energy,electricity,9136.0,0.0,Area (m2),2016,0.0,(0.5 MW) https://gridwatch.co.uk/stations,,True,,POINT (545311.6089496623 181924.0521974809)
sink,wwtp,Banbury STW,Online,wastewater,wastewater,82.0,0.0,MLD,2010,0.0,,,,,POINT (446952.83253 240277.93824)
sink,wwtp,Swindon STW,Online,wastewater,wastewater,188.0,0.0,MLD,2010,0.0,,,,,POINT (413105.1041346323 185621.9535584484)
sink,wwtp,Oxford STW,Online,wastewater,wastewater,169.0,0.0,MLD,2010,0.0,,,,,POINT (454354.6450417631 201921.1272962862)
sink,wwtp,Hogsmill STW,Online,wastewater,wastewater,330.0,0.0,MLD,2010,0.0,,,,,POINT (519495.2432443266 168351.0093908152)
sink,wwtp,Beddington STW,Online,wastewater,wastewater,295.0,0.0,MLD,2010,0.0,,,,,POINT (529519.04613 166324.25726)
sink,wwtp,Mogden STW,Online,wastewater,wastewater,1580.0,0.0,MLD,2010,0.0,PE to MLD conversion factor: 0.000784670517842812,,,,POINT (515409.1075970923 175095.258590067)
sink,wwtp,Long Reach STW,Online,wastewater,wastewater,700.0,0.0,MLD,2010,0.0,,,,,POINT (554721.3461802658 176688.7774499665)
sink,wwtp,Crossness STW,Online,wastewater,wastewater,1530.0,0.0,MLD,2010,0.0,,,,,POINT (549085.93417 180836.59669)
sink,wwtp,Riverside STW,Online,wastewater,wastewater,330.0,0.0,MLD,2010,0.0,,,,,POINT (551499.20706 181898.5147)
sink,wwtp,Beckton STW,Online,wastewater,wastewater,2808.0,0.0,MLD,2010,0.0,,,,,POINT (545469.25709 181666.63372)
sink,wwtp,Hertford STW,Online,wastewater,wastewater,318.0,0.0,MLD,2010,0.0,,,,,POINT (539104.1871185399 210213.1711158141)
sink,wwtp,Deepham STW,Online,wastewater,wastewater,704.0,0.0,MLD,2010,0.0,,,,,POINT (535659.17677 193168.96093)
